순서,구분,파일,크기,화면표시,설명,상태,키
4,기타,bgm/title.mp3,,1:1,타이틀 화면 BGM (원본 앞 2초 제거),도착,bgm.title
4,기타,item/blade_tallow.png,174×189,1:1,촛농검 장비 도트,도착,item.blade_tallow
4,기타,item/boots_quiet.png,165×159,1:1,죽은 자의 신발 장비 도트,도착,item.boots_quiet
4,기타,item/charm_seal.png,156×141,1:1,봉랍 부적 장비 도트,도착,item.charm_seal
4,기타,item/cloak_ash.png,144×171,1:1,재의 망토 장비 도트,도착,item.cloak_ash
4,기타,item/dagger_crack.png,99×150,1:1,균열난 단검 장비 도트,도착,item.dagger_crack
4,기타,item/lantern_old.png,105×192,1:1,낡은 랜턴 장비 도트,도착,item.lantern_old
4,기타,item/mask_bone.png,177×129,1:1,뼈가면 장비 도트,도착,item.mask_bone
4,기타,item/page_torn.png,156×147,1:1,찢어진 낱장 유품 도트,도착,item.page_torn
4,기타,item/potion_crimson.png,105×168,1:1,붉은 회복약 장비 도트,도착,item.potion_crimson
4,기타,item/potion_moon.png,75×159,1:1,은빛 회복약 장비 도트,도착,item.potion_moon
4,기타,item/ring_rust.png,108×105,1:1,녹슨 반지 장비 도트,도착,item.ring_rust
4,기타,item/rope_hemp.png,117×147,1:1,삼줄 장비 도트,도착,item.rope_hemp
4,기타,item/soil_deep.png,102×150,1:1,아래의 흙 한 줌 유품 도트,도착,item.soil_deep
4,기타,item/tooth_gate.png,129×174,1:1,문지기의 이빨 장비 도트,도착,item.tooth_gate
4,소리,sfx/click.mp3,,1:1,버튼 누름,도착,sfx.click
4,소리,sfx/death.mp3,,1:1,신호 두절 — 방송 끊김음 + 저역 험 (M06 §8 「소리가 절반이다」),도착,sfx.death
4,소리,sfx/record.mp3,,1:1,신기록 갱신,도착,sfx.record
4,소리,sfx/revive.mp3,,1:1,소생 — 수조에서 몸이 일어난다,도착,sfx.revive
4,소리,sfx/stamp.mp3,,1:1,봉랍 도장 — 검시 판정·폐기 확정,도착,sfx.stamp
4,소리,sfx/superchat.mp3,,1:1,슈퍼챗 알림,도착,sfx.superchat
4,소리,sfx/text.mp3,,1:1,생방송 채팅이 들어올 때의 낮은 텍스트 틱,도착,sfx.text
4,소리,sfx/title_chime.mp3,,1:1,타이틀의 새 게임: 띠링,도착,sfx.title.chime
4,소리,sfx/title_door.mp3,,1:1,타이틀의 새 게임: 가게 문이 열리는 소리 (앞 2초),도착,sfx.title.door
4,소품,prop/lamp.png,224×352,1:1,작업대의 실제 석유 램프,도착,prop.lamp
4,소품,prop/ledger.png,336×264,1:1,작업대의 출연자 서류철,도착,prop.ledger
4,소품,prop/scroll.png,176×64,1:1,계약서 서류 조각,도착,prop.scroll
4,소품,prop/stamp.png,128×208,1:1,최종 판정서에서 잘라낸 실물 도장,도착,prop.stamp
4,소품,prop/tag.png,152×104,1:1,작업대의 가격표,도착,prop.tag
4,캐릭터 · 기타,star/silhouette.png,1536×480,384×480 프레임 1칸 (1:1),이름 없는 몸 실루엣 4프레임,대기,star.silhouette
4,UI · 기타,ui/character_cover.png,1087×258,1:1,편성실 좌측 캐릭터 전경 가리개 — 대사 배치용,도착,ui.guest.cover
4,UI · 기타,ui/clock_hour.png,29×42,1:1,HUD game-clock hour hand,도착,ui.clock.hour
4,UI · 기타,ui/clock_minute.png,8×56,1:1,HUD game-clock minute hand,도착,ui.clock.minute
4,UI · 기타,ui/contract_sheet.png,700×914,1:1,Submitted hero contract; click its desk copy to inspect,도착,ui.contract.sheet
4,UI · 기타,ui/cursor.png,32×32,1:1,"마우스 커서 — 봉랍 도장. 뾰족한 끝이 좌상단(0,0)에 오게 그려라",대기,ui.cursor
4,UI · 기타,ui/hud_status.png,700×144,1:1,상단바 좌 — DAY·골드·팬·평판 4칸,도착,ui.hud.status
4,UI · 기타,ui/hud_tools.png,740×144,1:1,상단바 우 — 시계·도달층 게이지,도착,ui.hud.tools
4,UI · 기타,ui/icon_help_hover.png,112×112,1:1,상단바 아이콘 · 조작 안내(책) (눌림),도착,ui.icon.help.hover
4,UI · 기타,ui/icon_help.png,112×112,1:1,상단바 아이콘 · 조작 안내(책),도착,ui.icon.help
4,UI · 기타,ui/icon_options_hover.png,112×112,1:1,상단바 아이콘 · 옵션(톱니) (눌림),도착,ui.icon.options.hover
4,UI · 기타,ui/icon_options.png,112×112,1:1,상단바 아이콘 · 옵션(톱니),도착,ui.icon.options
4,UI · 기타,ui/icon_save_hover.png,112×112,1:1,상단바 아이콘 · 저장 (눌림),도착,ui.icon.save.hover
4,UI · 기타,ui/icon_save.png,112×112,1:1,상단바 아이콘 · 저장,도착,ui.icon.save
4,UI · 기타,ui/inventory_window.png,1452×831,1:1,편성실 인벤토리 창,도착,ui.inventory.window
4,UI · 기타,ui/item_info_bottom.png,536×94,1:1,가변 장비 정보창 조립용 하단 프레임,도착,ui.inventory.info.bottom
4,UI · 기타,ui/item_info_notes.png,536×302,1:1,가변 장비 정보창 조립용 긴 기록 구획,도착,ui.inventory.info.notes
4,UI · 기타,ui/item_info_section.png,536×238,1:1,가변 장비 정보창 조립용 반복 특성 구획,도착,ui.inventory.info.section
4,UI · 기타,ui/item_info_stats.png,536×177,1:1,가변 장비 정보창 조립용 스탯 구획,도착,ui.inventory.info.stats
4,UI · 기타,ui/item_info_top.png,536×318,1:1,가변 장비 정보창 조립용 상단 — 이름·등급·아이콘,도착,ui.inventory.info.top
4,UI · 기타,ui/item_info_window.png,536×1129,1:1,장비 상세 정보창,도착,ui.inventory.info
4,UI · 기타,ui/item_selected.png,228×240,1:1,인벤토리 선택 장비 프레임 (우측 하단 없음),도착,ui.inventory.selected
4,UI · 기타,ui/live_badge.png,206×74,1:1,③ LIVE 표시,도착,ui.live.badge
4,UI · 기타,ui/live_blink.png,26×28,1:1,③ LIVE 붉은 마름모 (깜빡인다),도착,ui.live.blink
4,UI · 기타,ui/live_chat.png,424×298,1:1,③ 채팅창. 상단 타이틀 바 42px 는 늘어나지 않는다 (9-slice top),도착,ui.live.chat
4,UI · 기타,ui/live_dialogue.png,1040×200,1:1,③ 용사 대사 배너 (무전이 열리면 뜬다),도착,ui.live.dialogue
4,UI · 기타,ui/live_door.png,1182×936,1:1,③ 갈림길 문 오버레이 (무전 3택),도착,ui.live.door
4,UI · 기타,ui/live_floors.png,210×936,1:1,③ 좌측 층계 게이지 (탑 단면),도착,ui.live.floors
4,UI · 기타,ui/live_lantern.png,460×568,1:1,③ 랜턴 든 팔 (우하단 전경),도착,ui.live.lantern
4,UI · 기타,ui/live_map.png,620×786,1:1,③ 플레이어가 보는 지도 (찢어진 종이),도착,ui.live.map
4,UI · 기타,ui/live_noise.png,1182×936,1:1,③ 방송 잡음 1장 (씬이 뒤집어 가며 쓴다),도착,ui.live.noise
4,UI · 기타,ui/live_radio.png,220×420,1:1,③ 무전기,도착,ui.live.radio
4,UI · 기타,ui/live_superchat.png,528×86,1:1,③ 슈퍼챗 한 줄 (고정 크기),도착,ui.live.superchat
4,UI · 기타,ui/logo.png,960×240,1:1,타이틀 로고,대기,ui.logo
4,UI · 기타,ui/seal.png,768×192,192×192 프레임 1칸 (1:1),봉랍 도장 4프레임,대기,ui.seal
4,UI · 기타,ui/suspicion1.png,192×128,1:1,의심도 1/5 — 눈이 떠지는 5단 (5장 다 있어야 승계 화면에 뜬다),도착,ui.suspicion1
4,UI · 기타,ui/suspicion2.png,192×128,1:1,의심도 2/5 — 눈이 떠지는 5단 (5장 다 있어야 승계 화면에 뜬다),도착,ui.suspicion2
4,UI · 기타,ui/suspicion3.png,192×128,1:1,의심도 3/5 — 눈이 떠지는 5단 (5장 다 있어야 승계 화면에 뜬다),도착,ui.suspicion3
4,UI · 기타,ui/suspicion4.png,192×128,1:1,의심도 4/5 — 눈이 떠지는 5단 (5장 다 있어야 승계 화면에 뜬다),도착,ui.suspicion4
4,UI · 기타,ui/suspicion5.png,192×128,1:1,의심도 5/5 — 눈이 떠지는 5단 (5장 다 있어야 승계 화면에 뜬다),도착,ui.suspicion5
4,UI · 패널,ui/panel_sunken.png,48×48,버튼/패널 크기에 맞춰 늘어난다,패널 테두리 (함몰 · 목록/채팅창),대기,ui.panel.sunken.9s
4,UI · 패널,ui/panel.png,48×48,버튼/패널 크기에 맞춰 늘어난다,패널 테두리 (융기),대기,ui.panel.9s
